date,CG-OPEN,CG-CLOSE,CON-OPEN,CON-CLOSE
1/12/2015,68689,73801,278638,287690
1/13/2015,73801,79034,287786,296838
1/14/2015,79034,83782,296947,305346
1/15/2015,83782,88294,305476,313650
1/16/2015,88294,91075,313733,316605
1/17/2015,91075,91472,316605,319477
1/18/2015,91472,92020,319477,320604
1/19/2015,,,,
1/20/2015,92020,96839,320604,329452
1/21/2015,96839,101900,329624,333969
1/22/2015,101900,106312,338315,346312
1/23/2015,106312,109230,346475,351430
1/24/2015,109230,110024,351450,353133
1/25/2015,110024,111171,353133,355830
1/26/2015,111171,116485,356043,365180
1/27/2015,116485,121364,365429,374280
1/28/2015,121364,126436,374497,383447
1/29/2015,126436,131175,383685,392379
1/30/2015,131175,134192,392517,397868
1/31/2015,134192,135022,397868,399612
2/1/2015,135022,136080,399612,401892
2/2/2015,136080,141469,402057,411428
2/3/2015,141475,146615,411769,421282
2/4/2015,146615,151769,421595,430790
2/5/2015,151769,156536,431180,440152
2/6/2015,156536,159620,440357,445789
2/7/2015,159620,160404,445789,447558
2/8/2015,160404,161672,447558,450728
2/9/2015,161672,167204,450963,460686
2/10/2015,167204,172666,461105,470914
2/11/2015,172666,177917,471184,480617
2/12/2015,177917,182448,480994,489220
2/13/2015,182448,185420,489449,494519
2/14/2015,185420,186053,494519,495859
2/15/2015,186053,187164,495859,498658
2/16/2015,187164,190282,498891,503929
2/17/2015,,,,
2/18/2015,190282,191802,504037,507568
2/19/2015,191802,195775,507623,514552
2/20/2015,195755,198645,514718,519999
2/21/2015,198645,199400,520010,521684
2/22/2015,199400,200664,521684,524652
2/23/2015,200678,206091,524907,534560
2/24/2015,,,,
2/25/2015,206091,211056,535049,543320
2/26/2015,,,,
2/27/2015,211056,213569,543479,548153
2/28/2015,213569,214366,548162,550290
3/1/2015,214366,215485,550290,553713
3/2/2015,215485,220782,553989,563436
3/3/2015,220782,226229,563836,573628
3/4/2015,226229,231478,574057,583266
3/5/2015,231478,235749,583676,591616
3/6/2015,235749,238127,591843,595908
3/7/2015,238127,238435,595908,596445
3/8/2015,238435,238694,596445,596924
3/9/2015,238694,239411,596924,598138
3/10/2015,239411,240010,598138,599372
3/11/2015,240010,240621,599372,600482
3/12/2015,240621,241161,600482,601512
3/13/2015,241161,241604,601512,602506
3/14/2015,241604,241810,602506,602909
3/15/2015,241810,242600,602909,604632
3/16/2015,242600,247662,604829,613618
3/17/2015,247662,252683,614006,622628
3/18/2015,252683,257881,622911,631870
3/19/2015,257881,262350,632258,640618
3/20/2015,262350,265289,640822,646165
3/21/2015,265289,266265,646165,647958
3/22/2015,266265,267561,647958,651348
3/23/2015,267561,272962,651649,661058
